角色信息: 熔岩球_lv5_toolFalse,,,,,,,,,,,,,,,,,,,,,
"等级: 5, havetool: False",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha,The 16th gacha,The 17th gacha,The 18th gacha,The 19th gacha,The 20th gacha
aimming_level2,0,0,0.077,0.164,0.517,0.405,0.207,0.059,0.011,0.003,0,0,0,0,0,0,0,0,0,0,0
aimming_level3,0,0,0,0.014,0.032,0.289,0.427,0.397,0.229,0.096,0.029,0.003,0.001,0.001,0,0,0,0,0,0,0
aimming_level4,0,0,0,0,0.001,0.002,0.116,0.263,0.385,0.384,0.282,0.147,0.064,0.021,0.011,0.002,0.001,0,0,0,0
aimming_level5,0,0,0,0,0,0,0,0.034,0.123,0.243,0.35,0.401,0.332,0.238,0.131,0.056,0.018,0.006,0,0,0
aimming_level6,0,0,0,0,0,0,0,0,0.005,0.028,0.089,0.19,0.315,0.388,0.382,0.323,0.216,0.113,0.055,0.017,0.007
aimming_level7,0,0,0,0,0,0,0,0,0,0,0.004,0.013,0.041,0.102,0.211,0.311,0.388,0.377,0.296,0.205,0.111
aimming_level8,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.004,0.019,0.062,0.12,0.223,0.322,0.367,0.367
aimming_level9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.035,0.077,0.152,0.227
aimming_level10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.013,0.04
aimming_level11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002
,,,,,,,,,,,,,,,,,,,,,
角色信息: 熔岩球_lv18_toolTrue,,,,,,,,,,,,,,,,,,,,,
"等级: 18, havetool: True",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha,The 16th gacha,The 17th gacha,The 18th gacha,The 19th gacha,The 20th gacha
aimming_level1,1,0.777,0.61,0.222,0.057,0.01,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aimming_level2,0,0.223,0.352,0.694,0.507,0.225,0.095,0.024,0.005,0,0,0,0,0,0,0,0,0,0,0,0
aimming_level3,0,0,0.038,0.078,0.423,0.592,0.447,0.263,0.133,0.053,0.013,0.005,0.001,0,0,0,0,0,0,0,0
aimming_level4,0,0,0,0.006,0.013,0.171,0.407,0.535,0.49,0.359,0.212,0.102,0.03,0.006,0.001,0,0,0,0,0,0
aimming_level5,0,0,0,0,0,0.002,0.05,0.169,0.322,0.454,0.501,0.415,0.319,0.186,0.086,0.031,0.01,0.003,0.001,0,0
aimming_level6,0,0,0,0,0,0,0,0.009,0.05,0.129,0.252,0.417,0.476,0.47,0.394,0.264,0.141,0.057,0.016,0.005,0.003
aimming_level7,0,0,0,0,0,0,0,0,0,0.005,0.022,0.06,0.167,0.302,0.412,0.5,0.501,0.414,0.288,0.155,0.065
aimming_level8,0,0,0,0,0,0,0,0,0,0,0,0.001,0.006,0.034,0.102,0.189,0.304,0.406,0.471,0.475,0.395
aimming_level9,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.005,0.016,0.044,0.119,0.209,0.321,0.424
aimming_level10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.015,0.042,0.106
aimming_level11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.007
,,,,,,,,,,,,,,,,,,,,,
角色信息: 熔岩球_lv35_toolFalse,,,,,,,,,,,,,,,,,,,,,
"等级: 35, havetool: False",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha,The 16th gacha,The 17th gacha,The 18th gacha,The 19th gacha,The 20th gacha
aimming_level0,1,0.767,0.572,0.434,0.416,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414
aimming_level1,0,0.233,0.406,0.481,0.175,0.049,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aimming_level2,0,0,0.022,0.084,0.4,0.325,0.161,0.071,0.019,0.005,0.001,0,0,0,0,0,0,0,0,0,0
aimming_level3,0,0,0,0.001,0.009,0.21,0.326,0.286,0.192,0.084,0.032,0.01,0.004,0.002,0,0,0,0,0,0,0
aimming_level4,0,0,0,0,0,0.002,0.087,0.206,0.291,0.299,0.225,0.132,0.06,0.022,0.003,0.003,0,0,0,0,0
aimming_level5,0,0,0,0,0,0,0,0.023,0.079,0.181,0.253,0.285,0.265,0.188,0.109,0.036,0.012,0.003,0.002,0,0
aimming_level6,0,0,0,0,0,0,0,0,0.005,0.017,0.073,0.145,0.211,0.285,0.299,0.266,0.165,0.076,0.037,0.009,0.003
aimming_level7,0,0,0,0,0,0,0,0,0,0,0.002,0.014,0.045,0.081,0.157,0.24,0.302,0.305,0.243,0.161,0.08
aimming_level8,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.008,0.018,0.037,0.098,0.173,0.238,0.293,0.303
aimming_level9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.009,0.029,0.065,0.116,0.174
aimming_level10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.007,0.026
,,,,,,,,,,,,,,,,,,,,,
角色信息: 熔岩球_lv35_toolTrue,,,,,,,,,,,,,,,,,,,,,
"等级: 35, havetool: True",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha,The 16th gacha,The 17th gacha,The 18th gacha,The 19th gacha,The 20th gacha
aimming_level1,1,0.842,0.734,0.24,0.051,0.007,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aimming_level2,0,0.158,0.252,0.717,0.515,0.231,0.09,0.024,0.009,0.001,0,0,0,0,0,0,0,0,0,0,0
aimming_level3,0,0,0.014,0.042,0.431,0.583,0.482,0.284,0.125,0.051,0.015,0.002,0,0,0,0,0,0,0,0,0
aimming_level4,0,0,0,0.001,0.003,0.179,0.383,0.526,0.514,0.369,0.206,0.097,0.032,0.009,0.002,0.001,0,0,0,0,0
aimming_level5,0,0,0,0,0,0,0.044,0.164,0.32,0.47,0.51,0.424,0.294,0.17,0.078,0.027,0.009,0,0,0,0
aimming_level6,0,0,0,0,0,0,0,0.002,0.032,0.104,0.251,0.404,0.501,0.477,0.391,0.268,0.142,0.068,0.017,0.004,0
aimming_level7,0,0,0,0,0,0,0,0,0,0.005,0.017,0.071,0.156,0.304,0.424,0.495,0.481,0.383,0.242,0.126,0.062
aimming_level8,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.017,0.038,0.1,0.191,0.308,0.429,0.507,0.492,0.366
aimming_level9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.005,0.017,0.056,0.106,0.206,0.313,0.434
aimming_level10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.004,0.014,0.026,0.063,0.126
aimming_level11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.012
