角色信息: 熔岩球_lv5_toolFalse,,,,,,,,,,,,,,,,,,,,,
"等级: 5, havetool: False",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha,The 16th gacha,The 17th gacha,The 18th gacha,The 19th gacha,The 20th gacha
aimming_level4,0,0,0,0,0.013,0.043,0.265,0.309,0.244,0.141,0.074,0.046,0.021,0.011,0.004,0.001,0,0,0,0,0
aimming_level5,0,0,0,0,0,0.006,0.017,0.194,0.271,0.262,0.177,0.088,0.057,0.032,0.014,0.01,0.004,0.001,0.001,0,0
aimming_level6,0,0,0,0,0,0,0.001,0.006,0.139,0.227,0.243,0.202,0.122,0.082,0.049,0.021,0.011,0.008,0.001,0.001,0
aimming_level7,0,0,0,0,0,0,0,0,0,0.092,0.194,0.237,0.22,0.151,0.11,0.063,0.041,0.017,0.011,0.005,0.002
aimming_level8,0,0,0,0,0,0,0,0,0,0,0.064,0.148,0.198,0.219,0.164,0.127,0.073,0.049,0.025,0.015,0.004
aimming_level9,0,0,0,0,0,0,0,0,0,0,0,0.049,0.12,0.162,0.197,0.185,0.145,0.091,0.06,0.038,0.027
aimming_level10,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.098,0.154,0.177,0.191,0.163,0.112,0.08,0.049
aimming_level11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.065,0.121,0.151,0.18,0.179,0.126,0.097
aimming_level12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.058,0.104,0.135,0.161,0.165,0.136
aimming_level13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.048,0.091,0.121,0.158,0.161
aimming_level14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.036,0.074,0.101,0.142
aimming_level15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.028,0.067,0.09
aimming_level16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.019,0.053
aimming_level17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.014
aimming_level18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003
,,,,,,,,,,,,,,,,,,,,,
角色信息: 熔岩球_lv18_toolTrue,,,,,,,,,,,,,,,,,,,,,
"等级: 18, havetool: True",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha,The 16th gacha,The 17th gacha,The 18th gacha,The 19th gacha,The 20th gacha
aimming_level1,1,0.669,0.454,0.15,0.041,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aimming_level2,0,0.331,0.439,0.598,0.309,0.126,0.055,0.015,0.004,0.003,0.002,0.002,0,0,0,0,0,0,0,0,0
aimming_level3,0,0,0.107,0.226,0.547,0.406,0.206,0.102,0.045,0.017,0.004,0.002,0.002,0,0,0,0,0,0,0,0
aimming_level4,0,0,0,0.026,0.094,0.419,0.405,0.27,0.155,0.078,0.032,0.012,0.006,0.004,0,0,0,0,0,0,0
aimming_level5,0,0,0,0,0.009,0.039,0.322,0.382,0.314,0.211,0.132,0.061,0.028,0.015,0.009,0.005,0.002,0.001,0,0,0
aimming_level6,0,0,0,0,0,0.001,0.011,0.227,0.317,0.299,0.225,0.162,0.09,0.051,0.025,0.01,0.004,0.003,0.002,0,0
aimming_level7,0,0,0,0,0,0,0.001,0.004,0.165,0.28,0.297,0.232,0.174,0.1,0.065,0.038,0.025,0.01,0.005,0.003,0.002
aimming_level8,0,0,0,0,0,0,0,0,0,0.112,0.23,0.317,0.25,0.207,0.126,0.08,0.05,0.032,0.016,0.008,0.002
aimming_level9,0,0,0,0,0,0,0,0,0,0,0.078,0.15,0.29,0.255,0.233,0.153,0.085,0.061,0.037,0.021,0.011
aimming_level10,0,0,0,0,0,0,0,0,0,0,0,0.062,0.125,0.238,0.251,0.237,0.182,0.112,0.083,0.059,0.033
aimming_level11,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.11,0.196,0.239,0.263,0.214,0.133,0.093,0.076
aimming_level12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.08,0.158,0.198,0.243,0.224,0.157,0.111
aimming_level13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.069,0.133,0.172,0.226,0.222,0.169
aimming_level14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.053,0.111,0.163,0.205,0.218
aimming_level15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.037,0.082,0.145,0.188
aimming_level16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.027,0.066,0.121
aimming_level17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.019,0.049
aimming_level18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.018
aimming_level19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002
,,,,,,,,,,,,,,,,,,,,,
角色信息: 熔岩球_lv35_toolFalse,,,,,,,,,,,,,,,,,,,,,
"等级: 35, havetool: False",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha,The 16th gacha,The 17th gacha,The 18th gacha,The 19th gacha,The 20th gacha
aimming_level0,1,0.759,0.597,0.453,0.425,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423
aimming_level1,0,0.241,0.348,0.43,0.158,0.048,0.022,0.005,0.002,0,0,0,0,0,0,0,0,0,0,0,0
aimming_level2,0,0,0.055,0.1,0.379,0.25,0.1,0.041,0.02,0.009,0.005,0.001,0.001,0,0,0,0,0,0,0,0
aimming_level3,0,0,0,0.017,0.033,0.266,0.256,0.171,0.08,0.032,0.018,0.009,0.003,0.002,0,0,0,0,0,0,0
aimming_level4,0,0,0,0,0.005,0.011,0.196,0.214,0.178,0.109,0.056,0.035,0.015,0.008,0.003,0.001,0,0,0,0,0
aimming_level5,0,0,0,0,0,0.002,0.003,0.144,0.202,0.178,0.127,0.07,0.047,0.026,0.018,0.007,0.005,0.002,0,0,0
aimming_level6,0,0,0,0,0,0,0,0.002,0.093,0.185,0.182,0.142,0.095,0.057,0.037,0.024,0.014,0.008,0.007,0.003,0.002
aimming_level7,0,0,0,0,0,0,0,0,0.002,0.063,0.143,0.174,0.138,0.106,0.061,0.048,0.027,0.017,0.007,0.004,0.001
aimming_level8,0,0,0,0,0,0,0,0,0,0.001,0.046,0.118,0.168,0.152,0.125,0.081,0.065,0.034,0.02,0.016,0.009
aimming_level9,0,0,0,0,0,0,0,0,0,0,0,0.028,0.094,0.158,0.154,0.127,0.087,0.077,0.043,0.024,0.018
aimming_level10,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.06,0.13,0.141,0.143,0.097,0.093,0.055,0.03
aimming_level11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.044,0.112,0.119,0.137,0.104,0.102,0.069
aimming_level12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.033,0.093,0.108,0.135,0.117,0.105
aimming_level13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.021,0.075,0.095,0.111,0.125
aimming_level14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.02,0.057,0.095,0.113
aimming_level15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.015,0.036,0.067
aimming_level16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.013,0.029
aimming_level17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.008
aimming_level18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
,,,,,,,,,,,,,,,,,,,,,
角色信息: 熔岩球_lv35_toolTrue,,,,,,,,,,,,,,,,,,,,,
"等级: 35, havetool: True",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha,The 16th gacha,The 17th gacha,The 18th gacha,The 19th gacha,The 20th gacha
aimming_level1,1,0.786,0.596,0.221,0.072,0.027,0.011,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0
aimming_level2,0,0.214,0.362,0.66,0.389,0.158,0.052,0.021,0.008,0.001,0,0,0,0,0,0,0,0,0,0,0
aimming_level3,0,0,0.042,0.114,0.512,0.435,0.246,0.11,0.052,0.024,0.006,0.002,0,0,0,0,0,0,0,0,0
aimming_level4,0,0,0,0.005,0.026,0.373,0.412,0.298,0.168,0.089,0.047,0.017,0.007,0.001,0.001,0,0,0,0,0,0
aimming_level5,0,0,0,0,0.001,0.007,0.278,0.381,0.333,0.215,0.117,0.071,0.036,0.017,0.005,0.002,0,0,0,0,0
aimming_level6,0,0,0,0,0,0,0.001,0.187,0.309,0.318,0.253,0.168,0.108,0.065,0.03,0.01,0.004,0.001,0,0,0
aimming_level7,0,0,0,0,0,0,0,0,0.13,0.258,0.293,0.24,0.181,0.125,0.087,0.053,0.026,0.012,0.004,0,0
aimming_level8,0,0,0,0,0,0,0,0,0,0.095,0.209,0.283,0.242,0.204,0.158,0.106,0.063,0.033,0.018,0.01,0.005
aimming_level9,0,0,0,0,0,0,0,0,0,0,0.075,0.159,0.258,0.24,0.201,0.157,0.124,0.08,0.043,0.027,0.013
aimming_level10,0,0,0,0,0,0,0,0,0,0,0,0.06,0.129,0.223,0.23,0.224,0.186,0.136,0.095,0.055,0.038
aimming_level11,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0.092,0.195,0.214,0.203,0.208,0.16,0.114,0.07
aimming_level12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.068,0.162,0.209,0.191,0.211,0.188,0.147
aimming_level13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.054,0.128,0.197,0.185,0.197,0.181
aimming_level14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.041,0.095,0.169,0.168,0.186
aimming_level15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.036,0.078,0.149,0.155
aimming_level16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.03,0.062,0.135
aimming_level17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.024,0.044
aimming_level18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.02
aimming_level19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006
